,NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
71420,210062137702;2024;3;M;1;1;1;1;1;;0;3525904;Jundiaí;35;SP;B;B;B;B;3;A;C;A;B;C;B;A;B;B;B;A;A;B;A;A;A;D;A
71421,210062137703;2024;2;F;1;1;1;3;0;;1;1721000;Palmas;17;TO;D;G;D;E;5;A;D;A;C;D;B;A;B;B;B;B;A;C;A;B;B;E;C
71422,210062137704;2024;2;M;0;3;1;2;0;1;0;3526803;Lençóis Paulista;35;SP;H;E;F;F;4;A;B;A;D;D;B;A;B;A;B;B;B;C;A;B;B;B;A
71423,210062137705;2024;2;F;1;4;1;2;0;1;0;2408102;Natal;24;RN;E;E;C;B;3;B;C;A;B;C;A;B;B;A;B;B;A;B;A;B;B;C;B
71424,210062137706;2024;2;M;1;3;1;2;0;1;0;2112209;Timon;21;MA;E;E;A;B;4;A;C;A;B;C;A;B;B;A;B;A;A;C;A;B;A;B;A
71425,210062137707;2024;4;M;1;1;1;2;0;;0;3550308;São Paulo;35;SP;G;F;D;B;3;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;B;C;A
71426,210062137708;2024;2;F;1;1;1;2;0;1;0;2610202;Panelas;26;PE;E;B;A;A;4;B;B;A;B;D;A;A;B;A;A;B;A;B;A;B;A;D;A
71427,210062137709;2024;1;F;1;1;1;3;0;;1;4118501;Pato Branco;41;PR;E;E;F;F;2;A;D;A;C;C;B;A;B;B;B;B;A;B;B;B;A;B;D
71428,210062137710;2024;1;M;1;1;1;3;0;;1;3304300;Rio Bonito;33;RJ;F;F;D;D;4;A;O;D;D;D;B;A;B;B;B;B;A;D;B;B;D;E;D
71429,210062137711;2024;9;F;2;3;1;1;9;;0;1721000;Palmas;17;TO;C;B;B;B;2;B;C;A;B;B;B;A;B;A;B;B;A;B;A;B;B;C;A
71430,210062137712;2024;2;M;1;3;1;2;0;1;0;3556503;Várzea Paulista;35;SP;E;B;F;C;3;B;C;A;B;C;B;A;B;B;B;B;B;B;A;B;B;B;A
71431,210062137713;2024;3;M;1;3;1;2;0;1;0;2313609;Ubajara;23;CE;D;E;A;D;3;A;D;A;B;C;B;B;B;A;B;A;A;B;A;B;A;E;D
71432,210062137714;2024;10;M;1;3;1;1;9;;0;3303500;Nova Iguaçu;33;RJ;C;C;C;B;5;B;B;A;B;C;A;A;B;A;A;A;A;C;A;B;A;E;A
71433,210062137715;2024;3;M;1;4;1;2;0;1;0;3549904;São José dos Campos;35;SP;E;F;D;B;4;B;J;A;C;C;B;A;B;B;B;B;A;D;B;B;D;E;A
71434,210062137716;2024;2;F;1;1;1;2;0;1;0;3552205;Sorocaba;35;SP;E;H;B;B;3;A;G;A;C;C;C;A;B;A;B;B;B;C;A;B;A;D;A
71435,210062137717;2024;8;F;1;3;1;1;6;;0;3550308;São Paulo;35;SP;E;B;B;B;3;A;B;A;B;C;A;A;B;A;B;B;A;B;A;B;A;D;A
71436,210062137718;2024;1;F;1;2;1;3;0;;1;5213103;Mineiros;52;GO;E;E;F;C;6;A;N;A;D;D;C;B;B;B;B;A;B;C;A;B;D;E;A
71437,210062137719;2024;5;F;1;3;1;2;0;1;0;3302403;Macaé;33;RJ;B;E;C;D;4;B;C;A;B;B;B;A;B;A;A;B;A;C;A;B;A;D;A
71438,210062137720;2024;2;F;1;3;1;3;0;;1;4203006;Caçador;42;SC;F;F;D;D;3;A;D;A;C;D;B;B;C;A;B;B;A;B;A;B;A;D;A
71439,210062137721;2024;6;F;1;1;1;1;0;;0;2933307;Vitória da Conquista;29;BA;D;F;C;C;1;B;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;A
71440,210062137722;2024;1;M;1;1;1;3;0;;1;2509701;Monteiro;25;PB;B;F;A;D;3;B;D;A;C;D;B;B;B;B;B;B;A;D;A;B;C;D;A
71441,210062137723;2024;1;M;1;1;1;3;0;;1;3550308;São Paulo;35;SP;E;F;E;E;3;A;Q;C;D;D;B;A;B;A;B;B;B;D;B;B;D;D;D
71442,210062137724;2024;4;F;1;1;1;2;0;1;0;2607901;Jaboatão dos Guararapes;26;PE;D;H;C;B;6;B;B;A;B;C;B;A;B;A;B;A;A;B;A;B;A;D;A
71443,210062137725;2024;3;M;1;3;1;2;0;1;0;4209003;Joaçaba;42;SC;H;D;F;B;7;B;C;A;B;C;A;A;B;A;A;A;A;B;A;A;A;D;A
71444,210062137726;2024;2;M;1;1;1;3;0;;1;2604106;Caruaru;26;PE;F;E;D;B;5;A;F;A;B;C;B;A;B;A;B;B;A;B;A;B;A;C;D
71445,210062137727;2024;1;F;1;1;1;3;0;;1;3301702;Duque de Caxias;33;RJ;E;E;C;B;4;B;D;A;C;C;B;A;B;A;B;B;A;C;B;B;B;D;D
71446,210062137728;2024;1;F;1;3;1;3;0;;1;1502202;Capanema;15;PA;A;E;A;A;5;A;A;A;B;C;A;B;B;A;A;A;A;A;A;A;A;B;A
71447,210062137729;2024;6;M;1;3;1;1;2;;0;2704302;Maceió;27;AL;E;F;D;E;4;B;H;A;C;D;B;A;B;A;B;B;A;B;B;B;A;D;D
71448,210062137730;2024;5;M;1;2;1;1;1;;0;2910727;Eunápolis;29;BA;C;D;A;F;1;B;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;A
71449,210062137731;2024;4;M;1;2;1;2;0;1;0;2206407;Monsenhor Gil;22;PI;D;D;A;B;3;A;B;A;B;C;A;A;B;A;B;A;A;B;A;B;B;C;A
71450,210062137732;2024;3;M;1;3;1;1;1;;0;3106200;Belo Horizonte;31;MG;C;E;B;F;4;A;E;A;C;D;B;A;B;A;B;B;B;C;B;B;C;E;A
71451,210062137733;2024;2;M;1;3;1;3;0;;1;3510203;Capão Bonito;35;SP;F;G;D;F;3;A;G;A;B;C;B;A;B;A;B;B;A;B;B;B;A;D;A
71452,210062137734;2024;4;F;1;3;1;1;1;;0;3550308;São Paulo;35;SP;B;E;C;B;3;B;D;A;B;C;A;A;B;A;B;A;A;B;A;B;B;D;A
